31,	Jan,	2019
Sunrise:	05:44;
Noon:	12:22;
Sunset:	18:59

Name,	Time_start,	Dir_start,	Alt_start,	Mag_start,	Time_highest,    Dir_highest,	Alt_highest,	Mag_highest,	Time_end,	Dir_end,	Alt_end,	Mag_end
SL-16 R/B,  03:01:03,   S,  49°,    3.9,    03:01:03,   S,  49°,    3.9,    03:05:10,   SSE,    10°,    7.4
DELTA 2 R/B,	03:31:14,	S,	19°,	7.5,	03:34:39, SE,	86°,	4.0,	03:34:39, SE,	86°,	4.0
COSMOS 1656,	03:51:00, SSW,    20°,    6.1,	03:55:00,	WNW,	73°,	3.6,	04:00:35,	N,	10°,	6.1
COSMOS 1674,	03:52:39,	S,	57°,	3.4,	03:52:39, S,	57°,	3.4,	03:55:43, S,	10°,	7.0
SL-14 R/B,	03:55:15,	S,	14°,	7.1,	03:59:15,	WNW,	77°,	3.5,	04:00:06,	NNW,	53°,	3.7
FGRST, 03:57:43,	N,	77°,	3.8,	03:57:43,	N,	77°,	3.8,	04:01:49,	E,	10°,	9.1
IDEFIX & ARIANE 42P R/B,    03:59:24,	N,	29°,	3.6,	04:02:11,	W,	69°,	2.5,	04:07:17, SSW,	10°,	5.9
ATLAS CENTAUR R/B,	03:59:39,	W,	46°,	3.6,	04:01:07,	NNW,	75°,	3.2,	04:06:04,	ENE,	10°,	7.1
SL-3 R/B, 04:03:24,	NW,	40°,	4.1,	04:05:52,	WSW,	57°,	4.1,	04:10:56,	S,	10°,	7.6
COSMOS 1726, 04:06:13,	S,	11°,	6.3,	04:10:13,	NE,	61°,	2.8,	04:12:20,	NNE,	19°,	4.2
PSLV R/B,	04:07:24,	N,	44°,	4.3,	04:08:39,	W,	73°,	3.8,	04:12:32, SSW,	10°,	7.4
COSMOS 2369,	04:10:50, SSW,	24°,	5.6,	04:14:20,	WNW,	61°,	3.7,	04:19:52,	N,	10°,	6.1
SL-16 R/B,	04:11:07,	WSW,	21°,	3.6,	04:11:37,	WSW,	21°,	3.7,	04:15:42, SSW,	10°,	5.6
DELTA 2 R/B(1),    04:13:28,	WNW,	32°,	4.6,	04:16:48,	NNE,	77°,	4.2,	04:23:07,	E,	10°,	9.7
PSLV R/B,	04:15:18,	S,	15°,	7.6,	04:18:48,	W,	57°,	4.1,	04:20:11,	NW,	36°,	4.5
SWIFT , 04:17:30,	N,	28°,	3.5,	04:18:18,	NNE,	29°,	3.7,	04:21:52,	ENE,	10°,	6.9
METEOR PRIRODA,	04:18:48,	N,	28°,	4.8,	04:20:42,	W,	66°,	3.6,	04:24:16, SSW,	10°,	7.2
SL-8 R/B,	04:22:05, SSW,	19°,	5.8,	04:26:05,	WNW,	56°,	3.5,	04:30:54,	N,	10°,	5.9
SL-3 R/B,	04:22:11,	NW,	36°,	3.3,	04:23:15,	W,	45°,	3.0,	04:27:00, SSW,	10°,	6.1
SL-14 R/B,	04:24:34,	WNW,	33°,	4.1,	04:25:38,	W,	38°,	4.1,	04:29:39, SSW,	10°,	7.1
SL-8 R/B,	04:24:44, SSW,	10°,	5.5,	04:27:35,	WNW,	68°,	1.9,	04:29:20,	N,	21°,	3.8
COSMOS 1626,	04:32:35,	N,	10°,	4.8,	04:36:26,	ESE,	60°,	3.5,	04:39:56, SSE,	10°,	6.9
H-1 R/B(1),	04:38:13,	N,	43°,	3.3,	04:38:24,	NNE,	44°,	3.6,	04:40:46,	E,	10°,	9.5
SL-8 R/B,   04:50:03, SW,	10°,	4.8,	04:53:14,	NW,	61°,	2.1,	04:56:16,	NE,	10°,	5.7
SL-16 R/B,	04:56:22, SW,	18°,	4.5,	04:59:37,	WNW,	29°,	3.4,	05:04:20,	NNW,	10°,	4.8
COSMOS 2242,	04:57:35, SSW,	15°,	5.9,	05:01:05,	W,	51°,	3.2,	05:05:07,	N,	10°,	5.4
SL-16 R/B,	05:02:45,	NNW,	10°,	3.8,	05:06:53,	W,	28°,	2.5,	05:10:27, SW,	10°,	4.4
TITAN 4B R/B, 05:10:58,	N,	11°,	4.0,	05:15:13,	ENE,	47°,	3.9,	05:19:22, SE,	10°,	7.5
CZ-2C R/B,	05:17:36,	NW,	10°,	4.5,	05:21:49,	W,	20°,	3.8,	05:25:14, SW,	10°,	4.9
DELTA 2 R/B(1), 05:23:36,	WNW,	10°,	5.3,	05:29:00,	ENE,	81°,	4.0,	05:33:23,	ESE,	10°,	12.2
SL-16 R/B,	05:24:48,	S,	14°,	5.3,	05:29:48,	ESE,	68°,	3.7,	05:35:24,	NNE,	10°,	5.4
SL-16 R/B,	05:25:10, SW,	13°,	4.3,	05:29:17,	WNW,	30°,	2.9,	05:34:02,	NNW,	10°,	4.3
CZ-2C R/B,	05:25:59, SSW,	16°,	5.9,	05:29:29,	WSW,	31°,	4.1,	05:33:38,	NW,	10°,	5.1
COSMOS 1703,	05:28:28,	N,	10°,	5.9,	05:32:28, SW,	87°,	3.8,	05:36:26,	S,	10°,	7.4
ATLAS CENTAUR R/B,  05:28:42,   W, 29°,    5.4,    05:35:12,   NNE,   80°,    3.9,    05:38:48,   ENE,   10°,	7.8
FGRST, 05:35:31,	W,	15°,	5.5,	05:39:01,	N,	71°,	4.3,	05:42:59,	ENE,	10°,	9.9
SL-16 R/B,	05:39:17, SSW,	15°,	5.0,	05:44:17,	ENE,	81°,	3.1,	05:49:49,	NNE,	10°,	5.3
ALOS, 05:45:44,	N,	10°,	5.0,	05:50:25,	W,	73°,	2.6,	05:55:05, SSW,	10°,	5.5
COSMOS 1455,    05:47:14,	S,	10°,	6.1,	05:51:03,	E,	69°,	3.6,	05:54:46,	NNE,	10°,	5.3
SL-14 R/B,	05:54:12,	NNW,	14°,	5.6,	05:58:12,	WSW,	51°,	4.1,	06:02:07,	S,	10°,	7.1
SWIFT, 05:55:49,	WNW,	10°,	4.3,	05:59:55,	N,	38°,	3.7,	06:03:48,	ENE,	10°,	8.0
